Neighborhood,Room_Type,Accommodates,Bedrooms,Number_of_Reviews,Wifi,Cable_TV,Washer,Kitchen,Price(US_Dollars)
Mitte,Entire Home/Apt,3,1,118,Yes,No,Yes,Yes,60
Pankow,Private Room,2,1,6,Yes,Yes,Yes,Yes,17
Pankow,Entire Home/Apt,4,1,143,Yes,Yes,Yes,Yes,90
Tempelhof - Schöneberg,Private Room,2,1,25,Yes,Yes,Yes,No,26
Pankow,Private Room,2,1,197,Yes,Yes,No,No,42
Pankow,Entire Home/Apt,7,4,6,Yes,No,Yes,Yes,180
Pankow,Entire Home/Apt,2,0,23,Yes,No,Yes,Yes,70
Friedrichshain-Kreuzberg,Private Room,2,1,0,Yes,No,Yes,Yes,120
Friedrichshain-Kreuzberg,Entire Home/Apt,5,1,48,Yes,No,Yes,Yes,90
Pankow,Private Room,2,1,279,Yes,No,Yes,Yes,45
Pankow,Entire Home/Apt,4,2,56,Yes,No,Yes,Yes,129
Friedrichshain-Kreuzberg,Entire Home/Apt,4,1,60,Yes,No,Yes,Yes,70
Friedrichshain-Kreuzberg,Entire Home/Apt,4,2,61,Yes,No,Yes,Yes,98
Mitte,Entire Home/Apt,5,1,223,Yes,No,Yes,Yes,160
Friedrichshain-Kreuzberg,Entire Home/Apt,4,1,96,Yes,No,No,Yes,65
Pankow,Entire Home/Apt,4,2,18,Yes,No,Yes,Yes,90
Pankow,Entire Home/Apt,4,2,5,Yes,No,Yes,Yes,90
Pankow,Entire Home/Apt,8,2,163,Yes,No,Yes,Yes,197
Pankow,Entire Home/Apt,2,0,28,Yes,No,Yes,Yes,70
Friedrichshain-Kreuzberg,Entire Home/Apt,6,2,30,Yes,No,Yes,Yes,90
Pankow,Entire Home/Apt,4,2,69,Yes,No,Yes,Yes,130
Pankow,Entire Home/Apt,8,2,240,Yes,No,Yes,Yes,100
Pankow,Private Room,1,1,28,Yes,No,Yes,Yes,44
Mitte,Entire Home/Apt,4,1,144,Yes,Yes,Yes,Yes,62
Pankow,Entire Home/Apt,2,1,1,Yes,No,Yes,Yes,55
Charlottenburg-Wilm.,Private Room,1,1,33,No,Yes,No,No,40
Tempelhof - Schöneberg,Private Room,1,1,21,Yes,No,Yes,Yes,25
Mitte,Entire Home/Apt,2,1,307,Yes,Yes,Yes,Yes,52
Friedrichshain-Kreuzberg,Private Room,3,1,161,Yes,No,Yes,Yes,39
Pankow,Entire Home/Apt,2,1,102,Yes,Yes,Yes,Yes,80
Neukölln,Entire Home/Apt,2,1,6,Yes,No,Yes,Yes,80
Friedrichshain-Kreuzberg,Private Room,2,1,50,Yes,Yes,Yes,Yes,50
Pankow,Private Room,2,1,70,Yes,Yes,No,Yes,43
Pankow,Private Room,2,1,1,Yes,Yes,Yes,Yes,40
Friedrichshain-Kreuzberg,Private Room,3,1,25,Yes,No,Yes,Yes,36
Friedrichshain-Kreuzberg,Entire Home/Apt,4,2,109,Yes,No,Yes,Yes,119
Pankow,Entire Home/Apt,4,1,65,Yes,No,Yes,Yes,90
Treptow - Köpenick,Private Room,2,1,11,Yes,Yes,Yes,Yes,42
Friedrichshain-Kreuzberg,Private Room,2,1,101,Yes,Yes,No,Yes,56
Pankow,Private Room,2,1,151,Yes,Yes,No,No,50
Mitte,Entire Home/Apt,2,1,38,Yes,Yes,Yes,Yes,48
Pankow,Entire Home/Apt,6,2,35,Yes,Yes,Yes,Yes,160
Pankow,Entire Home/Apt,2,1,0,Yes,No,Yes,Yes,70
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,5,Yes,Yes,Yes,Yes,88
Mitte,Private Room,2,1,156,Yes,Yes,Yes,Yes,55
Mitte,Entire Home/Apt,2,1,1,Yes,No,Yes,Yes,90
Charlottenburg-Wilm.,Entire Home/Apt,2,1,11,Yes,No,Yes,Yes,55
Pankow,Entire Home/Apt,5,2,81,Yes,No,Yes,Yes,200
Mitte,Entire Home/Apt,5,2,160,Yes,No,Yes,Yes,80
Steglitz - Zehlendorf,Entire Home/Apt,1,1,3,Yes,Yes,Yes,Yes,49
Mitte,Entire Home/Apt,4,2,72,Yes,No,Yes,Yes,55
Pankow,Entire Home/Apt,4,2,32,Yes,No,Yes,Yes,130
Pankow,Entire Home/Apt,4,1,76,Yes,No,Yes,Yes,90
Treptow - Köpenick,Entire Home/Apt,10,2,7,Yes,No,Yes,Yes,120
Neukölln,Private Room,2,1,96,Yes,Yes,Yes,No,37
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,89,Yes,No,Yes,Yes,52
Pankow,Private Room,6,3,45,Yes,Yes,Yes,Yes,44
Friedrichshain-Kreuzberg,Entire Home/Apt,4,2,34,Yes,No,Yes,Yes,102
Friedrichshain-Kreuzberg,Private Room,2,1,70,Yes,No,Yes,Yes,29
Pankow,Entire Home/Apt,4,0,220,Yes,Yes,Yes,Yes,84
Charlottenburg-Wilm.,Entire Home/Apt,2,1,37,Yes,No,Yes,Yes,80
Tempelhof - Schöneberg,Entire Home/Apt,2,1,200,Yes,No,Yes,Yes,69
Pankow,Entire Home/Apt,6,3,59,Yes,No,Yes,Yes,185
Charlottenburg-Wilm.,Entire Home/Apt,2,1,69,Yes,No,Yes,Yes,49
Mitte,Entire Home/Apt,5,2,39,Yes,No,Yes,Yes,155
Pankow,Entire Home/Apt,2,1,238,Yes,No,No,Yes,66
Mitte,Entire Home/Apt,2,1,71,No,No,No,Yes,70
